village,place,lon,lat,osm_id,heuristic_underserved_load,person_minutes_saved_one_way
Evansville,hamlet,-72.1303781,44.8031044,158811017,50492.14517598809,18750.270301744633
Wrightsville,hamlet,-72.5787215,44.3114469,158853609,25068.64727034237,18589.60343076269
Derby Center,village,-72.1339323,44.9474125,158819194,22582.381556217904,18535.954275101118
West Groton,hamlet,-72.2434296,44.2181172,158894188,28521.204843336425,18491.45871709127
Hyde Park,village,-72.617235,44.5936236,11086103140,39070.20032601246,17883.731143223806
Hyde Park,village,-72.6170954,44.5935986,158826249,39094.34304159398,17794.26774052868
Miles Pond,hamlet,-71.7961642,44.4472956,158819882,28031.15437845028,17784.623713574132
Mosquitoville,hamlet,-72.1446907,44.2703061,158803686,35542.737508477134,17279.63410335809
Bloomfield,village,-71.6318364,44.7535161,158804736,19383.757111889456,16741.772616019214
North Troy,village,-72.4038299,44.996484,158835698,16489.07573159485,16707.769866511368
McIndoe Falls,hamlet,-72.0630871,44.2616376,158853705,33391.07797267442,16583.08348180688
Jeffersonville,village,-72.8293886,44.6437941,158857150,12619.28098019632,16549.767410675202
Belvidere Junction,hamlet,-72.7426254,44.7369933,158817288,20441.747016736146,16444.62174274306
Ricker Mills,hamlet,-72.239263,44.2386723,158811856,31465.444995892158,16422.232026902835
Glover,village,-72.1870049,44.7070889,4502594882,74629.13081875528,16141.211864625668
South Ryegate,hamlet,-72.1409272,44.1883959,158838245,26793.384763594768,16065.94752442597
Green Bay,hamlet,-72.2023193,44.3047819,158806967,43666.784408842774,16016.901381342777
Whites Corner,hamlet,-71.8889733,44.4108597,158853964,27785.769405195006,15973.850644374583
Waterville,village,-72.7691959,44.6902339,158824761,17416.242278667378,15965.864007070486
Folsom,hamlet,-71.9854739,44.5799901,158902986,37440.14853808783,15907.019894797202
East Barre,hamlet,-72.4503802,44.1581178,158823566,4072.2046446142103,15645.143534150118
Moretown,village,-72.7613,44.2509107,158854360,15338.189665559392,15477.738306841982
East Concord,hamlet,-71.7537501,44.4247627,158842685,25478.458340620542,15407.617124298264
Egypt,hamlet,-71.9873018,44.5738152,158810461,37994.17631351099,14861.46296668907
South Lunenburg,hamlet,-71.6796613,44.4292529,158873331,21636.196118083786,14741.661730159023
Cambridge Junction,hamlet,-72.816767,44.650187,158855722,13387.783648858549,14725.340205085815
Brownington Village,hamlet,-72.1717681,44.8308815,158810909,42329.35140265529,14650.927527976291
Belvidere Center,hamlet,-72.6912337,44.7500487,158853339,27316.338237124033,14588.675873227676
Brunswick Springs,hamlet,-71.6327336,44.7366303,158797923,18373.621764459145,14428.646556263695
South Duxbury,hamlet,-72.7865055,44.2486694,158806447,14653.688022278626,14426.34038657689
Lakeside,hamlet,-72.2623195,44.2517275,158819897,34130.103927494085,14084.710935936246
Gilman,hamlet,-71.7189101,44.4135428,158859661,23841.321188978916,13860.665968002168
Sheffield,village,-72.1142013,44.6020032,158855588,63880.26630003272,13860.296030370182
Wheelock,village,-72.0834638,44.5877555,158825933,57647.14218082698,13717.321638123605
Concord Corner,hamlet,-71.8614507,44.4015905,158842799,26438.264488640787,13695.745172498888
Warren,village,-72.8555364,44.1139265,158824247,11897.411085259922,12991.134433703062
Websterville,hamlet,-72.4695476,44.1606176,158861684,2922.332315546965,12963.59577177547
Waitsfield,village,-72.822106,44.1926416,158825963,14680.312515969115,12933.98292244476
Adamant,hamlet,-72.5029093,44.3289984,158812983,31394.678820466877,12655.902343333057
Sheffield Square,hamlet,-72.1542644,44.6214187,158853749,81127.53034346362,12640.042383176724
East Warren,hamlet,-72.8198355,44.1095054,158821551,12765.174480042366,12454.627345151417
Roxbury,village,-72.7332921,44.093291,158858829,11863.06027406656,12395.458651683608
North Montpelier,hamlet,-72.4464939,44.3036699,158823381,37205.20293901012,12255.234272700449
Brownington Center,hamlet,-72.1463616,44.8232873,158809658,44793.69088698138,12223.97160749117
Holland,hamlet,-72.0033079,44.9667869,158855713,26472.47833762828,11937.095102214887
Lower Waterford,hamlet,-71.9076529,44.3546769,158903176,29405.849801991306,11930.19545440373
Wildersburg Common,hamlet,-72.4795484,44.1867281,158815997,6365.951271116397,11614.713990139233
Lake Elmore,hamlet,-72.5236752,44.5412099,158853747,88355.28179486132,11570.952856218808
Victory,hamlet,-71.8453264,44.5092023,158858822,32739.401767826545,11162.224670016587
Baptist Hill,hamlet,-71.7236757,44.4418002,158868521,24150.355110314867,11114.468420956631
Lower Websterville,hamlet,-72.4782334,44.1681655,158893071,3689.036978427256,11054.677900513934
Norton,village,-71.7944363,45.0096336,158810363,14499.141998786663,11008.10913023787
Sutton,village,-72.0264149,44.633176,158819206,39115.92669040503,10983.417630212642
South Kirby,hamlet,-71.9012935,44.4705928,158865865,32716.05900685257,10886.674333703973
Ralston Corner,hamlet,-71.8332771,44.4295316,158813444,28420.6351742314,10727.56531050337
Waitsfield Common,hamlet,-72.797397,44.1899269,158810660,15205.38737997027,10666.482923253752
Summit,hamlet,-72.0566823,44.6901693,158813353,50910.95339533489,10619.788590996313
Wallace Pond,hamlet,-71.6214958,45.0100003,158903554,9230.39850674865,10584.734398032493
Middlesex,village,-72.6780549,44.2920544,158869484,23620.8435331704,10391.589963023669
Averill,hamlet,-71.7098576,44.9985416,158806253,12325.805117193642,10083.142039518527
Morses Mills,hamlet,-72.0920406,44.3800585,158846239,55064.376234454874,9908.975465130972
West Glover,hamlet,-72.2239917,44.7283829,158905529,76684.01396490226,9905.431620323323
Ramsey Corner,hamlet,-72.0999465,44.5701117,158838225,58322.4043230749,9814.176493002115
South Cambridge,hamlet,-72.8104035,44.6100507,158836215,12212.395250893365,9617.966661628423
Upper Graniteville,hamlet,-72.4764919,44.1417291,158851388,2480.6944190517806,9254.373831801562
Waterbury Center,hamlet,-72.7159505,44.3781114,158842243,25371.96601502161,9156.724479121876
Peacham Corner,hamlet,-72.2684329,44.3400585,158823393,67639.15177087352,9106.029264561505
North Danville,hamlet,-72.0947119,44.4587665,158837455,69638.14045810551,9093.418853272455
West Settlement,hamlet,-72.721233,44.6200509,158798564,21698.19793969757,8985.136735373751
Texas,hamlet,-71.824385,44.4178422,158802762,27352.160357986355,8839.311322705784
Morses Mill,hamlet,-72.7915132,44.5883844,158811906,11382.615167048849,8806.90301553132
Northfield Center,hamlet,-72.6594544,44.136026,158810418,12257.894313158245,8533.39270722374
Beecher Falls,hamlet,-71.5072002,45.0085694,158813532,6078.003843053708,8407.151348648309
Lanesboro,hamlet,-72.3112114,44.3072814,158855682,52818.99381946647,8353.666626336806
East Ryegate,village,-72.0636682,44.204265,158871550,28522.762391093376,8015.096266327303
Lyndonville,village,-72.0031346,44.5337231,158857101,40686.41303881572,7926.104814066141
Browns Mill,hamlet,-71.6349279,44.6840098,158812105,17522.324130163208,7693.388731856562
Bullthroat,hamlet,-71.6497043,44.6669839,158861498,19672.35065323351,7572.213202599019
South Northfield,hamlet,-72.6542754,44.1153398,158838272,10695.87977272371,7427.929647852903
Irasville,hamlet,-72.8402204,44.1812124,158846883,14189.889438820104,7311.166245536798
Perry,hamlet,-72.0857645,44.6961621,158906514,48739.1347812091,7290.450294076128
North Fayston,hamlet,-72.8381728,44.2420023,158910027,13357.091236173583,7042.919087988539
Graniteville,hamlet,-72.4928815,44.1511732,158808230,3968.1071493545696,7010.712664944525
Damon Crossing,hamlet,-71.8164681,44.5277612,158870816,35968.42181561887,6875.791515980807
Ryegate Corner,hamlet,-72.1036629,44.2083985,158804475,29993.261134674485,6669.6580486754265
