GEOID20,POP20
500059575002006,0
500059575002007,0
500059575002009,17
500059575002010,67
500059575002012,26
500059575002013,31
500059575002015,63
500059575002016,139
500059575002017,0
500059575002019,14
500059575003000,20
500059575003002,59
500059575003003,60
500059575003004,18
500059575003005,18
500059575003006,0
500059575003007,38
500059575003008,70
500059575003009,75
500059575003010,0
500059575003011,0
500059575003012,7
500059575003013,144
500059575003014,102
500059575003015,13
500059575003017,177
500059575001014,147
500059575001017,4
500059575001021,28
500059575001024,94
500059575001027,38
500059575001031,11
500059575001034,3
500059575001037,0
500059575001040,14
500059575001044,0
500059575001047,95
500059575001065,0
500059575001068,0
500059575001072,0
500059575001075,0
500059575002001,0
500059575002004,15
500059575002008,0
500059575002011,132
500059575002014,85
500059575002018,0
500059575003001,0
500059575003018,61
500059575003021,0
500059575003024,16
500059575003028,0
500059575003031,5
500059575001001,18
500059576001015,5
500059576001027,0
500059576001046,95
500059576002026,77
500059576001026,8
500059576001028,0
500059576001030,8
500059576001031,29
500059576001033,0
500059576001034,8
500059576001035,9
500059576001036,3
500059576001037,6
500059576001038,58
500059576001039,12
500059576001040,11
500059576001041,17
500059576001042,33
500059576001043,19
500059576001044,43
500059576001045,12
500059576001047,72
500059576001048,56
500059576001050,1
500059576001051,55
500059576001053,3
500059576001054,0
500059576001055,29
500059576001057,4
500059576001058,6
500059576001060,22
500059576001061,7
500059576001063,44
500059576001064,0
500059576001066,0
500059576001067,28
500059576001068,1
500059576001000,0
500059576001001,7
500059576001070,0
500059576002000,21
500059576002002,12
500059576002003,12
500059576002005,20
500059576002006,19
500059576002007,0
500059576002009,0
500059576002010,21
500059576002012,2
500059576002013,1
500059576002014,4
500059576002015,10
500059576002016,9
500059576002017,69
500059576002018,1
500059576002019,9
500059576002020,17
500059576002021,17
500059576002022,4
500059576002023,7
500059576002024,17
500059576002025,15
500059576002027,0
500059576002028,15
500059576002030,20
500059576002031,9
500059576002033,0
500059576002034,0
500059576002035,20
500059576002037,3
500059576002038,0
500059576002040,21
500059576002041,51
500059576002043,0
500059576002044,0
500059576002046,10
500059576001002,22
500059576001003,9
500059576001004,18
500059576001005,0
500059576001006,1
500059576001007,29
500059576001008,10
500059576001009,15
500059576001010,21
500059576001011,10
500059576001013,40
500059576001014,23
500059576001017,15
500059576001018,0
500059576001020,18
500059576001021,0
500059576001023,6
500059576001024,12
500059576002047,10
500059576002048,7
500059576002050,29
500059576002051,0
500059576002053,0
500059576002054,28
500059576002056,0
500059576002057,0
500059576002058,4
500059576002060,13
500059576002061,32
500059576002063,0
500059576002064,0
500059576002065,6
500059576002066,7
500059576002067,23
500059576002069,0
500059576002070,0
500059576002072,2
500059576002073,0
500059576002074,6
500059576002076,0
500059576002004,29
500059576002008,7
500059576002011,28
500059576002029,24
500059576002032,0
500059576002036,29
500059576002039,13
500059576002042,0
500059576002045,18
500059576002049,8
500059576002052,3
500059576002055,0
500059576002059,26
500059576002062,29
500059576002068,0
500059576002071,2
500059576002075,0
500059576001012,155
500059576001016,35
500059576001019,5
500059576001022,22
500059576001025,44
500059576001029,38
500059576001032,27
500059576001049,94
500059576001052,11
500059576001056,0
500059576001059,5
500059576001062,3
500059576001065,12
500059576001069,3
500059576002001,25
500059577001067,48
500059577002036,18
500059577001031,13
500059577001033,101
500059577001034,20
500059577001036,11
500059577001037,57
500059577001039,41
500059577001040,0
500059577001041,27
500059577001043,0
500059577001044,10
500059577001046,5
500059577001047,0
500059577001049,36
500059577001050,39
500059577001052,4
500059577001053,34
500059577001054,42
500059577001055,16
500059577001056,12
500059577001057,33
500059577001058,6
500059577001059,0
500059577001060,0
500059577001061,29
500059577001062,11
500059577001063,7
500059577001064,5
500059577001065,44
500059577001066,54
500059577001068,0
500059577001069,0
500059577001071,0
500059577001072,20
500059577001074,3
500059577001075,4
500059577001076,15
500059577001078,11
500059577001079,39
500059577001081,8
500059577002000,84
500059577002002,24
500059577002003,3
500059577002005,41
500059577002006,55
500059577002007,13
500059577002009,27
500059577002010,17
500059577002012,26
500059577002013,73
500059577002015,12
500059577002016,0
500059577002017,0
500059577002019,0
500059577002020,8
500059577001000,6
500059577001002,3
500059577001003,0
500059577001005,47
500059577001006,21
500059577001008,0
500059577001009,42
500059577001010,13
500059577001012,52
500059577001013,0
500059577001015,49
500059577001016,0
500059577001018,0
500059577001019,11
500059577001020,0
500059577001022,29
500059577001023,4
500059577001025,65
500059577001026,50
500059577001027,7
500059577001028,2
500059577001029,46
500059577001030,5
500059577002022,9
500059577002023,8
500059577002024,37
500059577002025,3
500059577002026,36
500059577002027,40
500059577002028,67
500059577002029,3
500059577002030,65
500059577002031,20
500059577002032,193
500059577002033,22
500059577002034,6
500059577002035,16
500059577002037,48
500059577002038,6
500059577002040,15
500059577002041,18
500059577002043,30
500059577002044,37
500059577002045,10
500059577002047,2
500059577002048,12
500059577001001,0
500059577001004,16
500059577001007,17
500059577001011,8
500059577001014,22
500059577001017,8
500059577001021,3
500059577001024,61
500059577001032,25
500059577001035,0
500059577001038,50
500059577001042,0
500059577001045,41
500059577001048,0
500059577001051,19
500059577001070,13
500059577001073,34
500059577001077,13
500059577001080,4
500059577002001,58
500059577002004,25
500059577002008,24
500059577002011,18
500059577002014,23
500059577002018,0
500059577002021,0
500059577002039,54
500059577002042,0
500059577002046,23
500059577002049,0
500059578001024,9
500059578003002,0
500059578002006,6
500059578002057,10
500059578003049,0
500059578003100,0
500059578001053,0
500059578001054,0
500059578001056,8
500059578001057,0
500059578001059,3
500059578001060,0
500059578001061,0
500059578001063,12
500059578001064,29
500059578001066,5
500059578001067,0
500059578001069,14
500059578001070,0
500059578001071,0
500059578001073,12
500059578001074,2
500059578001075,7
500059578001076,0
500059578001077,4
500059578001078,3
500059578002000,16
500059578002001,6
500059578002002,45
500059578002003,6
500059578002004,0
500059578002005,0
500059578002007,0
500059578002008,0
500059578002010,3
500059578002011,0
500059578002013,0
500059578002014,8
500059578002015,0
500059578002017,3
500059578002018,0
500059578002020,0
500059578002021,6
500059578002023,52
500059578002024,5
500059578002026,20
500059578002027,4
500059578002028,11
500059578002030,15
500059578002031,18
500059578002033,7
500059578002034,16
500059578002036,1
500059578002037,0
500059578002038,0
500059578002040,6
500059578002041,30
500059578002043,4
500059578002044,2
500059578002045,12
500059578002046,6
500059578002047,14
500059578002048,107
500059578002049,6
500059578001012,64
500059578001013,1
500059578001014,6
500059578001015,40
500059578001016,0
500059578001017,0
500059578001018,9
500059578001019,5
500059578001020,0
500059578001021,1
500059578001022,23
500059578001023,1
500059578001026,39
500059578001027,18
500059578001029,34
500059578001030,20
500059578001031,2
500059578001033,2
500059578001034,25
500059578001036,4
500059578001037,14
500059578001039,11
500059578002050,9
500059578002051,0
500059578002052,12
500059578002053,0
500059578002054,14
500059578002055,12
500059578002056,0
500059578002058,5
500059578002059,2
500059578002061,3
500059578002062,0
500059578002064,24
500059578002065,2
500059578002066,9
500059578002068,22
500059578002069,3
500059578002071,0
500059578002072,0
500059578002074,0
500059578002075,0
500059578002077,10
500059578002078,34
500059578002079,2
500059578002081,70
500059578002082,16
500059578002084,1
500059578002085,19
500059578001040,0
